SKILLER С большаЯ база поведенческих интервенций v1.0;;;;;;;
;;;;;;;
Ќазначение;ђабочаЯ клинико-продуктоваЯ база SKILLER длЯ подбора, персонализации, замены и оценки поведенческих интервенций.;;;;;;
‚ерсиЯ;v1.1 С расширеннаЯ поведенческаЯ база;;;;;;
ЋбъЮм после расширениЯ;372 карточки: 300 исходных + 72 специализированных поведенческих интервенции;;;;;;
ѓотовность архитектуры;‘труктура базы, таксономиЯ, контуры риска, источники, промпты и логика замены готовы длЯ разработки и внутреннего тестированиЯ.;;;;;;
ѓотовность содержаниЯ;Љарточки написаны самостоЯтельным Языком SKILLER и сопоставлены с протоколами. „лЯ публичного клинического использованиЯ каждаЯ карточка получает отдельный статус источниковой, клинической и юридической проверки.;;;;;;
—то это менЯет;"‚место общего предупреждениЯ ЗвсЮ черновикИ база различает: архитектурно готово; source-mapped; клинически вычитано; разрешено в самостоЯтельном контуре; только со специалистом.";;;;;;
ЏерсонализациЯ;Љаждый Prompt_template показывает навык на реальной ситуации человека и запрещает выдумывать факты.;;;;;;
Џоведенческий приоритет;„обавлены навыки управлениЯ стимулами, подкреплением, shaping, chaining, implementation intentions, привычками, экспозиционным обучением и восстановлением поведениЯ.;;;;;;
Ѓезопасность;‚ысокорисковые экспозиционные, травма-фокусированные, кризисные и медицински чувствительные интервенции остаютсЯ в клиническом контуре.;;;;;;
Ђвторское право;Љарточки не копируют защищЮнные раздатки. „лЯ открытых материалов отдельно проверЯютсЯ условиЯ коммерческой адаптации.;;;;;;
ђабочий статус;Ѓаза готова длЯ импорта в backend и закрытого тестированиЯ после проверки схемы данных. Џубличный запуск навыка зависит от его индивидуального статуса проверки.;;;;;;
‹исты;Ќавыки, €сточники, Њеханизмы, ‘емейства, Џокрытие, Ћчередь вычитки, Џоведенческие навыки v1.1.;;;;;;
