Механизм_ID,Механизм,Описание
M01,Запуск действия,Намерение не превращается в первый шаг
M02,Удержание,Действие быстро прекращается
M03,Возвращение,Трудно вернуться после отвлечения
M04,Выбор,Паралич выбора или конфликт задач
M05,Завершение,Трудно остановиться и закончить
M06,Эмоциональное избегание,Быстрое облегчение поддерживает проблему
M07,Физиологическое возбуждение,Высокий arousal ограничивает выбор
M08,Руминация/worry,Повторное мышление заменяет действие
M09,Неопределённость,Нужна гарантия
M10,Самокритика/стыд,Наказание усиливает избегание
M11,Межличностная эффективность,"Запросы, границы, переговоры"
M12,Сверхконтроль,Ригидность и закрытость
M13,Низкая активация,Мало поведения и подкрепления
M14,Страх/избегание,Нет нового обучения
M15,Компульсия,Ритуал подкрепляется облегчением
M16,Сон,Поведение поддерживает бессонницу
M17,Ценности,Нет выбранного направления
M18,Потеря цели,Автопилот и забывание намерения
M19,Среда,Нет внешней структуры
M20,Подкрепление,Награда слишком отсрочена
M21,Негативный прогноз,Катастрофизация и деморализация
M22,Сверхстандарт,Перфекционизм и страх ошибки
M23,Травматическое избегание,Избегание воспоминаний и значимых сфер
M24,Самофокусировка,Внимание на образе себя
M25,Социальная связанность,Недостаток безопасной поддержки
M26,Гнев,"Arousal, угроза и агрессивное действие"
M27,Рецидив,Нет раннего распознавания и плана
M28,Вторичное страдание,Борьба с опытом усиливает нагрузку
M29,Эмоциональная неясность,Не определены эмоция и функция
M30,Метакогнитивный CAS,Убеждения о мышлении поддерживают CAS
M31,Операционализация поведения,Перевод ярлыка или жалобы в наблюдаемое действие
M32,Функция поведения,Связь antecedent–behavior–consequence и проверяемая функция
M33,Измерение поведения,"Частота, длительность, латентность, интенсивность и процент выполнения"
M34,Контроль стимулов,Изменение контекстных сигналов и response effort
M35,Контингенции и подкрепление,Зависимость последствий от наблюдаемого поведения
M36,Поведение-замена,"Функциональная, альтернативная или несовместимая реакция"
M37,Формирование сложного навыка,"Shaping, chaining, prompts, modeling и rehearsal"
M38,Поведенческая цель и feedback,"Конкретный критерий, данные и корректирующая обратная связь"
